Word,Definition
petolintu,bird of prey
pyrstö,tail
pyrstösulat,tail feathers
ruokkia,to feed
räpylät,flippers
siipi,wing
siivet,wings
sulka,"feather, plume"
untuvat,down feathers
"kasvot, naama",face
pää,head
"huuli, huulet","lip, lips"
hammas,"tooth, teeth"
suu,mouth
kieli,tongue
nenä,nose
"sierain, sieraimet","nostril, nostrils"
"poski, posket","cheek, cheeks"
"poskipää, poskipäät","cheekbone, cheekbone"
otsa,forehead
"silmä, silmät","eye, eyes"
"silmäripsi, ripset","eyelash, lashes"
"hiukset, tukka",hair
"ohimo, ohimot","temple, temples"
"korva, korvat","ear, ears"
kulmakarvat,eyebrows
leuka,chin
kaula,neck
niska,back of the neck
takaraivo,back of head
vatsa,stomach
maha,belly
vyötärö,waist
napa,"navel, belly button"
"rintakehä, rinta",chest
"rinta, rinnat","breast, breasts"
tissit (informal),boobs
selkä,back
alaselkä,lower back
yläselkä,upper back
selkäranka,spine
"kylki, kyljet","side, sides"
"lonkka, lonkat","hip, hips"
"peppu, takapuoli",butt
"kainalo, kainalot","armpit, armpits"
"käsi, kädet","hand, or arm"
"käsivarsi, käsivarret","arm, arms"
"kämmen, kämmenet",palm of hand(s)
"kädenselkä, kädenselät",back of hand(s)
"nyrkki, nyrkit","fist, fists"
"sormi, sormet","finger, fingers"
"etusormi, etusormet","index finger, index fingers"
"peukalo, peukalot","thumb, thumbs"
"keskisormi, keskisormet","middle finger, middle fingers"
"nimetön, nimettömät","ring finger, ring fingers"
"pikkurilli, pikkurillit","little finger, little fingers"
"kynsi, kynnet","nail, nails"
"ranne, ranteet","wrist, wrists"
"kyynärpää, kyynärpäät","elbow, elbows"
"kyynärvarsi, käsivarret","forearm, forearms"
"olkapää, olkapäät","shoulder, shoulders"
"olkavarsi, olkavarret","upper arm, upper arms"
"jalka, jalat","leg, or foot"
"jalkaterä, jalkaterät","foot, feet"
"jalkapohja, jalkapohjat","sole of foot, soles of feet"
"kantapää, kantapäät","heel, heels"
"polvi, polvet","knee, knees"
"nilkka, nilkat","ankle, ankles"
"pohje, pohkeet","calf, calves"
"sääri, sääret","shin, shins"
"reisi, reidet","thigh, thighs"
lantio,pelvis
"varvas, varpaat","toe, toes"
huuli,huulet
kylki,kyljet
kynsi,kynnet
kyynärvarsi,kyynärvarret
käsi,kädet
olkavarsi,olkavarret
polvi,polvet
reisi,reidet
ripsi,ripset
sormi,sormet
sääri,sääret
jalka,jalat
korva,korvat
kämmen,kämmenet
lonkka,lonkat
nilkka,nilkat
rinta,rinnat
silmä,silmät
hammas,hampaat
ien,ikenet
pohje,pohkeet
ranne,ranteet
sierain,sieraimet
varvas,varpaat
kahvi,coffee
kahvi maidolla,coffee with milk
kahvi kerman kera,coffee with cream
musta kahvi,coffee without milk
kahvi maitovaralla,a coffee with space for milk
kofeiiniton kahvi,decaffeinated coffee
latte,latte
tee,tea
tee sitruunan kera,tea with lemon
maito,milk
kaakao,hot cocoa
tomaattimehu,tomato juice
tuoremehu,fruit juice
appelsiinimehu,orange juice
kananmuna,egg
kovaksi keitetty muna,hard-boiled egg
pehmeäksi keitetty muna,soft-boiled egg
kinkkua ja munia,ham and eggs
pekonia ja munia,bacon and eggs
munakokkeli,scrambled eggs
paistettu muna,fried egg
uppomuna,poached egg
munavoi,egg butter
leipä,bread
leipäviipale,a slice of bread
paahdettu leipä,toast
tumma leipä,brown bread
vaalea leipä,white bread
ruisleipä,rye bread
kauraleipä,oat bread
karjalanpiirakka,Karelian pasty
pulla,bun (pic)
voileipä,sandwich
sämpylä,roll
voisarvi,croissant
gluteeniton leipä,gluten-free bread
murot,cereal
puuro,porridge
mysli,muesli
hunaja,honey
sokeri,sugar
hillo,jam
marmeladi,marmelade
maapähkinävoi,peanut butter
suklaalevite,chocolate spread
leivänpäälliset,cold cuts
meetvursti,salami
uinti,swimming
kilpauinti,competitive swimming
avantouinti,ice swimming
taitouinti,synchronized swimming
sukellus,diving
snorklaus,snorkeling
räpyläuinti,fin swimming
vesipallo,water polo
surffaus,surfing
lainelautailu,surfing
purjelautailu,windsurfing
veneily,boating
melonta,"kayaking, canoeing"
purjehdus,sailing
soutu,rowing
kilpaveneily,boat racing
koskenlasku,rafting
vesihiihto,waterskiing
vesijuoksu,aqua jogging
hiihto,skiing
ampumahiihto,biathlon
alppihiihto,alpine skiing
maastohiihto,cross-country skiing
mäkihyppy,ski jumping
lumilautailu,snowboarding
rattikelkkailu,"bobsled, bobsleigh"
luistelu,ice skating
taitoluistelu,figure-skating
pikaluistelu,speed skating
curling,curling
jääpallo,bandy
jääkiekko,ice-hockey
jäätanssi,ice dancing
kelkkailu,bob sleighing
laskettelu,downhill skiing
pujottelu,slalom skiing
mäkihyppy,skijumping
golf,golf
jalkapallo,soccer
tennis,tennis
koripallo,basketball
käsipallo,handball
pesäpallo,Finnish baseball
baseball,baseball
lentopallo,volleyball
rantalentopallo,beach volley
salibandy /sähly,floorball
seinäpallo,squash
sulkapallo,badminton
"pöytätennis, pingis",table tennis
biljardi,billiards
petankki,petanque
"keilailu, keilaus",ten-pin bowling
"squash, kössi",squash
kroketti,croquet
kriketti,cricket
haavipallo,lacrosse
rugby,rugby
amerikkalainen jalkapallo,American football
maahockey,field hockey
jongleeraus,juggling
juoksu,running
hölkkäys,jogging
lenkkeily,jogging
maastojuoksu,cross country running
kestävyysjuoksu,long-distance running
pikajuoksu,sprinting
aitajuoksu,hurdling
estejuoksu,steeplechase
kävely,walking
sauvakävely,Nordic walking
maratonit,marathons
triatlonit,triathlons
tanssi,dance
paritanssi,partner dance
kilpatanssi,competitive dance
nykytanssi,contemporary dance
moderni tanssi,modern dance
baletti,ballet
lavatanssi,stage dance
valssi,waltz
tango,tango
sambatanssi,samba dance
salsa-tanssi,salsa dance
flamenco,flamenco
jazztanssi,jazz dance
kansantanssi,folk dance
steppi,tap dance
rivitanssi,line dance
showtanssi,show dance
hiphop-tanssi,hip-hop dance
break dance,break dance
street-tanssi,street dance
zumba,zumba
kilpatanssi,competitive dance
tankotanssi,dole dance
vatsatanssi,belly dance
itämainen tanssi,Oriental dance
intialainen tanssi,Indian dance
irlantilainen tanssi,Irish dance
cheerleading,cheerleading
cheer-tanssi,cheer dance
ammunta,shooting
jousiammunta,archery
keihäänheitto,javelin throwing
kiekonheitto,discus throwing
moukarinheitto,hammer throwing
kolmiloikka,triple jumping
korkeushyppy,high jump
kymmenottelu,decathlon
pituushyppy,long jumping
seiväshyppy,pole vaulting
lentäminen,flying
benjihyppy,bungee jumping
varjoliito,paragliding
riippuliito,hang gliding
laskuvarjohyppy,skydiving
taitolento,aerobatics
skeittailu,skating
rullalautailu,skateboarding
parkour,parkour
kiipeily,climbing
kalliokiipeily,rock climbing
boulderointi,bouldering
jääkiipeily,ice climbing
kamppailulajit,martial arts
judo,judo
jujutsu / jujitsu,jujutsu
taekwondo,taekwondo
karate,karate
nyrkkeily,boxing
potkunyrkkeily,kickboxing
thainyrkkeily,Thai boxing
paini,wrestling
vapaapaini,freestyle wrestling
sumopaini,sumo wrestling
miekkailu,fencing
kädenvääntö,arm wrestling
kuntosali,gym
kuntoharjoittelu,fitness training
voimaharjoittelu,strength training
kehonrakennus,bodybuilding
voimanosto,powerlifting
painonnosto,weightlifting
ryhmäliikuntatunti,group exercise class
voimistelu,gymnastics
jumppa,aerobics
bodypump,bodypump
spinning,spinning
pilates,pilates
zumba,zumba
jooga,yoga
telttailu,camping
ulkoilu,outdoor activities
retkeily,backpacking
luontoretkeily,nature hiking
vaellus,hiking
patikointi,hiking
suunnistus,orienteering
geokätköily,geocaching
kalastus,fishing
onginta,angling
pilkintä,ice fishing
perhokalastus,fly fishing
marjastus,berry picking
sienestys,mushroom picking
poiminta,picking
metsästys,hunting
puutarhanhoito,gardening
luolatutkimus,caving
kukkienasettelu,flower arranging
luontokuvaus,nature photography
opiskelu,studying
kielten opiskelu,studying languages
astronomia,astronomy
politiikka,politics
historiaa,history
sukututkimus,genealogy
korttipelit,card games
bridge,bridge
go,go
pokeri,poker
lautapelit,boardgames
scrabble,scrabble
shakki,chess
backgammon,backgammon
bingo,bingo
sanaristikot,crossword puzzles
piilosanat,cryptic crosswords
palapelit,puzzles
sudoku,sudoku
postimerkkeily,philately
kivien keräily,rock collecting
kolikoiden keräily,coin collecting
pelien keräily,collecting games
pienoismallit,scale models
lukeminen,reading
lehdet,magazines
sarjakuvat,comic books
äänikirjojen kuuntelu,listening to e-books
kirjallisuus,literature
tietokirjallisuus,non-fiction literature
manga,manga
kirjoittaminen,writing
luova kirjoittaminen,creative writing
runous,poetry
runojen kirjoittaminen,writing poetry
fanifiktio,fanfiction
kalligrafia,calligraphy
taide,art
kuvataide,visual art
piirtäminen,drawing
kuvitus,illustration
maalaus,painting
akvarellimaalaus,watercolor painting
öljymaalaus,oil painting
akryylimaalaus,acrylic painting
värittäminen,coloring
decoupage,decoupage
skräppäys,scrapbooking
askartelu,paper handicraft
origami,origami
musiikki,music
musiikin kuuntelu,listening to music
musiikin soitto,playing music
musiikin teko,making music
musiikki,music
säveltäminen,composing
kitaransoitto,playing guitar
klarinetti,clarinet
trumpetti,trumpet
laulu,singing
kuoro,choir
keikoilla käyminen,going to gigs
karaoke,karaoke
käsityöt,handicraft
ompelu,sewing
vaateompelu,sewing clothes
virkkaus,crocheting
huovutus,felting
kutominen,weaving
neulonta,knitting
matonkudonta,rug making
kirjonta,embroidery
ristipistotyöt,cross-stitch
pitsinnypläys,lace making
puutyöt,woodworking
metallityöt,metalwork
taonta,forging
puunveisto,wood carving
nahkatyöt,leatherwork
nikkarointi,DIY
rakentaminen,building
kunnostus,repairing
entisöinti,restoration
remontointi,renovation
keramiikka,pottery
kuvanveisto,sculpting
lasinpuhallus,glassblowing
kokkailu,cooking
ruoanlaitto,cooking
leivonta,baking
hyvä ruoka,good food
ruokakurssi,cooking course
viini,wine
viininmaistelu,wine tasting
olut,beer
oluenmaistelu,beer tasting
ravintola,restaurant
television katsominen,watching television
elokuvat,movies
elokuvien katselu,watching movies
elokuvissa käyminen,going to the movies
anime,anime
animaatio,animation
Pokémon Go,Pokémon Go
tietotekniikka,IT
tietokoneet,computers
koodaaminen,coding
surffailu,surfing
bloggaus,blogging
striimaus,streaming
YouTube,YouTube
valokuvaus,photography
kuvankäsittely,image processing
videokuvaus,video recording
videoeditointi,video editing
3D-mallinnus,3D modeling
graafinen suunnittelu,graphic design
tietokonepelit,computer games
konsolipelit,console games
mobiilipelit,mobile games
videopelit,video games
FPS-pelit,FPS games
rpg-pelit,RPG games
open world-pelit,open world games
e-urheilu,e-sports
hevoset,horses
ratsastus,horse riding
hevosurheilu,equestrian sports
laukkaurheilu,horse racing
hevosravit,harness racing
esteratsastus,show jumping
kouluratsastus,dressage
hevospoolo,polo
mehiläishoito,beekeeping
koiranäyttely,dog shows
agility,dog agility
lintubongaus,bird watching
lemmikkien hoitaminen,taking care of pets
autot,cars
autojen rakentelu,building cars
autojen korjaaminen,fixing cars
autojen kunnostus,car restoration
vanha auto,old cars
autoilu,driving
autourheilu,motor sport
ralliautoilu,rallying
kilpa-autoilu,car racing
rata-autoilu,racetrack driving
moottoripyöräily,motorcycling
moottoriurheilu,motor sports
motocross,motocross
pyöräily,cycling
maastopyöräily,mountain biking
BMX-pyöräily,BMX
kilpapyöräily,cycle sport
karting,carting
shoppailu,shopping
ikkunashoppailu,window shopping
kirpputori,flea market
matkailu,traveling
matkailuautoilua,motorhome travel
kulttuurimatkailua,cultural tourism
sisustus,interior design
muoti,fashion
partio,scouting
hyväntekeväisyys,charity
vapaaehtoistyö,volunteering
bilettäminen,partying
hengailu,hanging out
saunominen,taking a sauna
teatteri,theatre
teatterissa käynti,going to the theatre
näytteleminen,acting
lämmittää,to heat
kantaa puita saunaan,to carry wood to the sauna
riisuutua,to undress
nousta lauteille,to climb on the benches
heittää vettä kiukkaalle,to throw water on the stove
heittää löylyä,“to throw steam”
hikoilla,to sweat
peseytyä,to wash oneself
huuhdella,to rinse
uida,to swim
kuivata itsensä,to dry oneself
nauttia saunasta,to enjoy the sauna
varata saunavuoro,to reserve a sauna shift
vilvoitella,to cool off
mökki,cabin
puuvaja / liiteri,woodshed
pukuhuone,dressing room
löylyhuone,wash room
avanto,hole in the ice
lauteet,benches
laudeliina,bench cloth
kiuas,stove
puukiuas,wood-burning stove
sähkökiuas,electric stove
vesikauha,"ladle, scoop"
ämpäri / sanko,bucket
höyry,steam
lämpömittari,thermometer
vesipata,water heater
pesuvati,bowl
tervasaippua,tar soap
pesusieni,sponge
alaston / alasti,naked
pellavapyyhe,linen towel
froteepyyhe,terry towel
työkalut,tools
hara,hoe
harava,rake
istutushaarukka,hand fork
istutuslapio,trowel
kastelukannu,watering can
keritsimet,shears
kottikärryt,wheelbarrow
kukkaruukku,plant pot
kumisaappaat,rubber boots
kuokka,hoe
kylvöastia,seed tray
käsisaha,hand saw
lapio,shovel
lehtiharava,lawn rake
letkukela,hose reel
naru,twine
oksasakset,secateurs
pensassakset,shears
puutarhakäsineet,gardening gloves
puutarhalapio,trowel
puutarhaletku,garden hose
raivaussakset,long-handled shears
ruohonleikkuri,lawn mower
sadetin,sprinkler
talikko,manure fork
trimmeri,trimmer
tukikeppi,stake
yrttitarha,herb garden
kattopuutarha,roof garden
pihamaa,front yard
palsta,"patch, plot"
hedelmätarha,orchard
ruusutarha,rose garden
vihannestarha,vegetable garden
kivikkoistutus,rock garden
patiopuutarha,patio garden
kasvihuone,greenhouse
nurmikko,lawn
lammikko,pond
pensasaita,hedge
aita,fence
portti,gate
kaariportti,arch
vaja,shed
pergola,pergola
perennapenkki,herbaceous border
säleikkö,trellis
amppeli,hanging basket
polku,path
kiveys,paving
sora,gravel
kukkapenkki,flowerbed
suihkulähde,fountain
pohjamaa,subsoil
lannoite,fertilizer
turve,turf
olkipeite,mulch
komposti,compost heap
rikkaruohomyrkky,weedkiller
torjunta-aine,pesticide
haravoida,to rake
hoitaa,to tend to
istuttaa,to plant
istuttaa ruukkuun,to pot up
kaivaa,to dig
karsia,to prune
kastella,to water
kerätä sato,to harvest
kitkeä,to weed
korjata sato,to harvest
kylvää,to sow
kylvää nurmikko,to sow a lawn
lannoittaa,to fertilize
leikata,to trim
maisemoida,to landscape
möyhentää,to aerate
peittää turpeella,to turf
peittää katteella,to mulch
poimia,to pick
sumuttaa,to spray
trimmata,to trim
varttaa,to graft
jokavuotinen kasvi,annual plant
kaksivuotinen kasvi,biennial plant
monivuotinen kasvi,perennial plant
vesikasvi,water plant
sipulikasvi,bulbous plant
mehikasvi,succulent plant
saniainen,fern
bambu,bamboo
rikkaruohot,weeds
taimi,seedling
maustekasvi,herb plant
puu,tree (more)
palmu,palm tree
havupuu,fir tree
lehtipuu,leaf tree
kaktus,cactus
ruoho,grass
pensas,bush
koristepensas,flowering shrub
köynnöskasvi,climber
pohjakasvillisuus,ground cover
maanpeittokasvi,creeper
taimi,seedling
lomailija,vacationer
matkustaja,traveler
nautiskelija,person of pleasure
laiskottelija,someone who takes it easy
turisti,tourist
maailmanmatkaaja,globetrotter
erävaeltaja,trekker
retkeilijä,hiker
patikoija,backpacker
aktiiviloma,active holiday
aurinkoloma,sun holiday
hiihtoloma,skiing holiday
kaupunkiloma,city holiday
kesäloma,summer holiday
kotimaanmatka,domestic travel
kulttuuriloma,cultural holiday
kylpyläloma,spa vacation
mökkiloma,summer cottage holiday
perheloma,family holiday
rantaloma,beach holiday
risteily,cruise
seikkailuloma,adventure holiday
talviloma,winter holiday
terveysmatkailu,health tourism
ulkomaanmatka,international travel
äkkilähtö,last minute travel
arkkitehtuura,architecture
eläintarha,zoo
hiekkaranta,beach
historiallinen kirkko,historic church
huvipuisto,amusement park
kansallispuisto,national park
katedraali,cathedral
keisarillinen palatsi,imperial palace
keskiaikaiset rakennukset,medieval buildings
kylpylä,spa
linna,castle
luolasto,cave
maisema,view
muistomerkki,monument
museo,museum
nähtävyys,tourist attraction
ostoskatu,shopping street
safari,safari
teemapuisto,theme park
temppeli,temple
vanhakaupunki,old town center
vesiputous,waterfall
bongata lintuja,to spotbirds
golfata,to golf
grillata,to grill
hiihtää,to ski
ihailla arkkitehtuuraa,to admire architecture
katsoa auringonlaskua,to watch the sunset
kiipeillä,toclimb
kirjoittaa postikortteja,to write post cards
kuunnella opasta,to listen to the guide
kävellä rannalla,to walk on the beach
käydä kiertoajelulla,to go sightseeing
käydä museossa,to go to a museum
käydä ostoksilla,to go shopping
leiriytyä,to camp
lennättää leijaa,to fly a kite
levätä,to rest
luistella,to ice skate
meloa,to kayak
nauttia luonnosta,to enjoy nature
nauttia hiljaisuudesta,to enjoy the silence
ostaa tuliaisia,to buy souvenirs
ottaa aurinkoa,to sunbathe
pelata rantalentopallo,to play beach volleyball
oppia paikallisten tapoja,to learn the habits of the natives
purjehtia,to sail
purjelautailla,to parasail
pystyttää teltta,to set up a tent
pyöräillä,to ride a bike
rakentaa hiekkalinnoja,to build sandcastles
ratsastaa norsulla,to ride an elephant
rentoutua,to relax
rullaluistella,to rollerblade
saunoa,tosauna
snorklata,to snorkle
sukeltaa,to dive
surffata,to surf
syödä paikallisia herkkuja,to eat regional delicacies
sytyttää nuotio,to start a camp fire
tilata juotavaa,to order something to drink
tutustua paikalliseen kulttuuriin,to learn about the local culture
uida,to swim
vaeltaa,to hike
valokuvata,to take pictures
veneillä,to boat
vuokrata vene,to charter a boat
yöpyä hotellissa,to spend the night in ahotel
kirjailija,writer (literature vocab)
kuvanveistäjä,sculptor
taidemaalari,painter
muusikko,musician (music vocab)
näyttelijä,actor (acting vocab)
runoilija,poet
taiteilija,artist
valokuvaaja,photographer
elokuvaohjaaja,film director
eläinlääkäri,veterinarian
metsuri,lumberjack
puutarhuri,gardener
kukkakauppias,florist (flower vocab)
kalastaja,fisherman (fishing vocab)
kaivosmies,miner
maanviljelijä,farmer
metsänvartija,forester
erämaaopas,wilderness guide
asianajaja,lawyer
baarimikko,barman (drinks)
edustaja,representative
hammaslääkäri,dentist (more vocab)
henkivartija,bodyguard
hieroja,masseur
jalkojenhoitaja,chiropodist
kampaaja,hairdresser (more vocab)
kauppias,shop keeper (more vocab)
kaupunginjohtaja,mayor
kodinhoitaja,trainer homehelp
kätilö,midwife
kääntäjä,translator
lääkäri,doctor (doctor vocab)
myyjä,shop assistant
ompelija,dressmaker
opettaja,teacher (school vocab)
optikko,optician
pankkiiri,banker (bank vocab)
pankkivirkailija,bank clerk
pankinjohtaja,bank manager
pankkiryöstäjä,bank robber
parturi,barber
perheenemäntä,housewife
poliisi,police officer (more vocab)
poliitikko,politician (politics)
postinkantaja,postman (more vocab)
psykologi,psychologist
psykiatri,psychiatrist
rahastonhoitaja,treasurer
räätäli,tailor
sairaanhoitaja,nurse
sihteeri,secretary
sosiaalityöntekijä,social worker
tarjoilija,waiter
tulkki,interpreter
tuomari,judge (law and crime)
vakuutusasiamies,insurance agent
arkkitehti,architect
hitsaaja,welder
kirvesmies,carpenter
mekaanikko,mechanic
maalari,painter
muurari,bricklayer
putkimies,plumber
rakennusinsinööri,construction engineer
rakennusmestari,building engineer
sähköasentaja,electrician
teknikko,technician
biologi,biologist
fyysikko,physicist (physics vocab)
geologi,geologist
kemisti,chemist (chemistry vocab)
laborantti,laboratory worker
meteorologi,meteorologist (weather)
tieteilijä,scientist
tutkija,researcher
kirjanpitäjä,accountant
konttoripäällikkö,office manager
laskuttaja,invoice clerk
osastopäällikkö,departmental manager
pormestari,mayor
sihteeri,secretary
talouspäällikkö,financial manager
toimistovirkailija,clerk
valtion virkamies,civil servant
bussinkuljettaja,bus driver (bus traffic phrases)
kartanlukija,navigator
kuorma-autoilija,truck driver
lennonjohtaja,air traffic controller
lentoemäntä,stewardess
lentäjä,pilot
merikapteeni,sea captain
merimies,sailor
stuertti,steward
taksinkuljettaja,taxi driver
ajo-opettaja,driving instructor
apteekkari,pharmacist (pharmacy)
arkeologi,archeologist
avaruuslentäjä,astronaut (space)
jalokivikauppias,jeweler
kokki,cook (cooking verbs)
kirjastonhoitaja,librarian (library)
leipuri,baker
rehtori,headmaster
suutari,shoemaker
toimittaja,journalist (the press)
varastonhoitaja,warehouse keeper
ohjelmoija,software developer
Millainen/Minkälainen ihminen hän on?,What kind of a person is he/she?
Millainen luonne hänellä on?,What kind of a personality does he/she have?
Millaisia luonteenpiirteitä hänellä on?,What kind of characteristics does she/he have?
Millainen hän on luonteeltaan?,What is she/he like personality wise?
Millainen ihannemiehesi on?,What’s your ideal man like?
Millainen ihannenaisesi on?,What’s your ideal woman like?
Sopiiko hän luonteeltaan yhteen minun kanssa?,Do our personalities match?
ahkera,hard-working
aloitekykyinen,enterprising
ankara,"harsh, strict"
antelias,generous
ahne,greedy
arka,shy
arvostettu,"valued, appreciated"
avoin,open
empaattinen,empathic
ennakkoluuloinen,close-minded
ennakkoluuloton,open-minded
epäilyttävä,suspicious
epäitsekäs,unselfish
epäluuloinen,mistrustful
epärehellinen,dishonest
epäröivä,indecisive
epävarma,unsure
epäystävällinen,unfriendly
eriskummallinen,eccentric
fiksu,smart
hankala,difficult
harkitseva,thoughtful
hassu,weird
hauska,funny
heikko,weak
herkkä,sensitive
herttainen,endearing
hidas,slow
hidasjärkinen,"obtuse, dense"
hienotunteinen,discreet
hiljainen,quiet
huumorintajuinen,humorous
huolehtivainen,attentive
huolellinen,"careful, thorough"
huomaavainen,"polite, courteous"
hullu,crazy
hyvä,good
hyväsydäminen,kind-hearted
häijy,wicked
häikäilemätön,ruthless
höpsö,silly
iloinen,happy
ilkeä,mean
itsekäs,selfish
itsekeskeinen,self-centered
itsenäinen,independent
itsepäinen,stubborn
itserakas,"cocky, stuck-up"
itsevarma,self-assured
jalomielinen,generous
joustava,flexible
julma,cruel
järjestelmällinen,"systematic, methodical"
järkevä,reasonable
kamala,terrible
kateellinen,envious
kavala,sly
kekseliäs,"inventive, innovative"
kiivas,hot-tempered
kohtelias,polite
kova,tough
kunniallinen,honorable
kunnianhimoinen,ambitious
kuolematon,immortal
kuuluisa,famous
kuuro,deaf
kyyninen,cynical
kärsivällinen,patient
kätevä,handy
köyhä,poor
laiska,lazy
lapsellinen,childish
lempeä,gentle
leppoisa,laid-back
looginen,logical
luotettava,reliable
luova,creative
lyhytjänteinen,impatient
mielikuvituksekas,imaginative
mietteliäs,thoughtful
mukava,pleasant
mustasukkainen,jealous
myyntihenkinen,focused on sales
määrätietoinen,"determined, single-minded"
nirso,picky
nokkela,smart (practical)
nopea,fast
näppärä,handy (good and fast)
oma-aloitteinen,spontaneous
omapäinen,willful
onnellinen,happy
onneton,unhappy
oppimishaluinen,wants to learn
oppimiskykyinen,learns easily
optimistinen,optimistic
outo,strange
ovela,cunning
paha,evil
pahantuulinen,ill-tempered
pelokas,easily scared
peloton,fearless
persoonallinen,special
pessimistinen,pessimistic
pirteä,perky
pitkäjänteinen,thinks long-term
pohtiva,mindful
puhelias,talkative
päättäväinen,"determined, decisive"
rauhallinen,"peaceful, calm"
rehellinen,"honest, truthful"
reipas,energetic
rento,relaxed
riippumaton,independent
riippuvainen,dependent
rikas,rich
saamaton,lazy
sairas,sick
saita,stingy
sarkastinen,sarcastic
seurallinen,sociable
sisukas,spunky
sitkeä,tenacious
sotkuinen,messy
stressaantuva,easily stressed
suorasanainen,blunt
surullinen,sad
suvaitsevainen,"tolerant, open-minded"
sydämetön,heartless
taitava,skilled
tarkka,accurate
tarmokas,"brisk, energetic"
tasapainoinen,well-balanced
terve,healthy
totinen,earnest
tuhma,naughty
turhamainen,vain
tyhmä,stupid
tylsä,boring
tyyni,calm
tyytymätön,unsatisfied
tyytyväinen,content
täsmällinen,"precise, exact"
uhkarohkea,foolhardy
ujo,"shy, timid"
ulospäin-suuntautunut,outgoing
urheilullinen,sporty
urhoollinen,valiant
uskalias,bold
uskollinen,faithful
uskoton,unfaithful
vaatimaton,modest
vaativa,demanding
vahva,strong
vaitelias,quiet
vakava,serious
vakuuttava,convincing
vallanhimoinen,power-hungry
vastuutuntoinen,responsible
vihamielinen,hostile
vihainen,angry
viisas,wise
vilkas,"wild, energetic"
villi,wild
vilpitön,"frank, sincere"
väkivaltainen,aggressive
yhteistyökykyinen,good at team work
yksinäinen,lonely
ylimielinen,arrogant
yritteliäs,doesn’t give up
ystävällinen,friendly
äkkipäinen,quick-tempered
älykäs,intelligent
ärsyttävä,annoying
äänekäs,loud
Hän tulee toimeen kaikkien kanssa.,She/he gets along with everyone.
Hän oikeasti välittää ihmisistä.,She/he really cares about people.
Hän ei satuttaisi kärpästäkään.,She/he wouldn’t hurt a fly.
Hän on tarvittaessa aina valmiina auttamaan.,She/he is always ready to help if needed.
Hän ei puhu pahaa toisista selän takana.,She/he doesn’t talk shit about others behind their back.
"Hän osaa olla häiritsemättä silloin, kun tarvitset työrauhan.",She/he knows not to bother when you need space and quiet.
Hän sanoo sanottavansa suoraan.,She/he says things straight to your face.
Hän on aidosti ilahtunut sinut nähdessään.,She/he is genuinly happy to see you.
Hän kannustaa tarpeen tullen.,She/he supports you when needed.
Hän antaa palautetta ja kritiikkiä asiallisesti.,She/he gives feedback and critique in a positive manner.
Hän kuuntelee ilman että tuomitsee sinua.,She/he listens without judging you.
ystävä,friend
kirjeystävä,pen pal
paras ystävä,best friend
tosiystävä,a true friend
kaveri,"buddy, mate"
toveri,"pal, comrade"
kultaseni,my sweetheart
rakkaani,my love
kullanmuru,sweetie
elämänkumppani,life companion
kumppani,partner
miesystävä,"adult boyfriend, male friend"
naisystävä,"adult girlfriend, female friend"
ystävätär,woman’s female friend
poikaystävä,boyfriend
tyttöystävä,girlfriend
rakastaja,lover
rakastavaiset,love birds
morsian,bride
sulhanen,groom
vastanainut,newlywed
sydänystävä,bosom friend
ihailija,admirer
kesäheila,summer love/crush
ystävystyä,to become friends
rakastaa,to love
rakastua,to fall in love
flirttailla,to flirt
halailla,to cuddle
suudella,to kiss
syleillä,to embrace
käydä treffeillä,to go on a date
seurustella,to date
halata,to hug
hyväillä,to caress
harrastaa seksiä,to have sex
ikävöidä,to long for
kosia,to propose
ystävällinen,friendly
luotettava,reliable
ihana,wonderful
rakas,beloved
platoninen,platonic
rakastunut,in love
intohimoinen,passionate
romanttinen,romantic
sensuaalinen,sensual
viehättävä,attractive
kallisarvoinen,precious
ystävyys,friendship
ystäväpiiri,circle of friends
ystävänpalvelus,a favor
ystävänpäivä,Valentine’s day
rakkaus,love
ensirakkaus,first love
flirttailu,flirting
käsi kädessä,hand in hand
rakkauskirje,love letter
sokkotreffit,blind date
sydän,heart
suukko,kiss
suudelma,kiss
hali,hug
lentosuukko,blow kiss
treffit,a date
viettelys,seduction
yksipuolinen rakkaus,unrequited love
esiaviollinen seksi,premarital sex
romantiikka,romance
intohimo,passion
kiihko,ardor
parisuhde,relationship
Arvostan sinua ystävänä.,I appreciate you as a friend.
Kiitos kun olet ystäväni.,Thanks for being my friend.
Olet paras ystäväni.,You’re my best friend.
Hän on läheinen ystävä.,She’s a close friend.
Olet minulle tärkeä.,You’re important to me.
Olet ajatuksissani.,You’re in my thoughts.
Mitä ystävyys sinulle tarkoittaa?,What does friendship mean to you?
Ihailen sinua.,I admire you.
Tulisitko päiväkahville kanssani?,Would you have a coffee with me?
Lähtisitkö treffeille mun kanssa?,Would you go on a date with me? (spoken language)
Tämä oli hieno ilta.,This was a great night.
Hymysi on kaunis.,Your smile is beautiful.
Tulisitko vaimokseni?,Will you be my wife?
alue,area
asuinalue,neighborhood
lähiympäristö,"vicinity, close environment"
asuinlähiö,residential suburb
esikaupunki,suburban city
kaupunki,city
kylä,village
suurkaupunki,metropolis
maaseutu,countryside
koti,home
talo,house
asunto,"residence, apartment"
huoneisto,"apartment, flat (pic)"
yksiö,one-room apartment (bedroom and living room in one)
kaksio,two-room apartment
